1534532464	0	1534532468
1534532468	4	1534532469
1534532469	10	1534532470
1534532470	12	1534532471
1534532471	14	1534532472
1534532472	16	1534532473
1534532473	18	1534532474
1534532474	20	1534532475
1534532475	22	1534532477
1534532477	24	1534532479
1534532479	26	1534532481
1534532481	28	1534532483
1534532483	30	1534532485
1534532485	32	1534532487
1534532487	34	1534532490
1534532490	36	1534532492
1534532492	38	1534532494
1534532494	40	1534532496
1534532496	42	1534532498
1534532498	44	1534532500
1534532500	46	1534532502
1534532502	48	1534532504
1534532504	50	1534532543
1534532543	40	1534532565
1534532565	35	1534532582
1534532582	28	1534532583
